name,address,city,zip_code,latitude,longitude,visited,visited_date
Crossroads Park,999 164th Ave NE,Bellevue,98008,47.618202031114,-122.12249409079,N,
Crown Hill Glen,8735 19th Ave NW,Seattle,98117,47.693703,-122.381394,N,
Crown Hill Park,9089 Holman Rd NW,Seattle,98117,47.696071,-122.373976,N,
Crystal Springs Park,15832 51st Avenue South,Tukwila,98188,47.461183757816,-122.270502536518,N,
Daejeon Park,1144 Sturgus Ave S,Seattle,98144,47.59192,-122.312163,N,
Dahl Playfield,7700 25th Ave NE,Seattle,98115,47.685267,-122.299309,N,
Dakota Place Park,4304 SW Dakota St,Seattle,98116,47.566844,-122.387164,N,
Darnell Park,1125 N 165th St,Shoreline,,47.748137387127294,-122.34366154370773,N,
David E. Brink Park,555 Lake St S,Kirkland,,47.67112447956072,-122.20715261420759,N,
David Rodgers Park,2800 1st Ave W,Seattle,98119,47.644135,-122.359484,N,
Day Street Boat Ramp,1402 Lakeside Ave S,Seattle,98144,47.59026,-122.285154,N,
Deane's Children's Park,5500 Island Crest Way,Mercer Island,98040,47.552309148025,-122.22279774826,N,
Dearborn Park,2919 S Brandon St,Seattle,98126,47.553389,-122.296225,N,
Deer Run Park,17600 Village Park Drive SE,Bellevue,98006,47.553669686211,-122.10955036442,N,
Delridge Playfield,4458 Delridge Way SW,Seattle,98106,47.562842,-122.364371,N,
Denny Blaine Lake Park,100 Maiden Ln E,Seattle,98112,47.61833,-122.284838,N,
Denny Blaine Park,200 Lake Washington Blvd E,Seattle,98112,47.62011,-122.280548,N,
Denny Park,100 Dexter Ave N,Seattle,98109,47.61913,-122.341049,N,
Des Moines Memorial,15623 Des Moines Memorial Drive,Burien,,47.4627654791754,-122.32631568423177,N,
Discovery Park,3801 Discovery Park Blvd,Seattle,98199,47.66083,-122.415282,Y,
Don Armeni Park,1222 Harbor Ave SW,Seattle,98116,47.59274,-122.382295,Y,
Doris Cooper Houghton Beach Park,5811 Lake Washington Blvd NE,Kirkland,,47.66030139586085,-122.20747231022023,N,
Dottie Harper Park,421 SW 146th Street,Burien,,47.47216817917596,-122.3421595842314,N,
Downtown Park,Redmond Way and Cleveland Street adjacent to 161st Ave NE,Redmond,,47.674259743196586,-122.1247532820318,N,
Dr. Blanche Lavizzo Park,2100 S Jackson St,Seattle,98144,47.600278,-122.304179,N,
Dr. Jose Rizal Park,1007 12th Ave S,Seattle,98144,47.593859,-122.318094,N,
Dudley Carter Park,7447 159th PL NE,Redmond,,47.671158871448874,-122.12787103525066,N,
Duwamish Gardens,Intersection of Interurban Avenue South and South 115th Street,Tukwila,98225,48.711117344921,-122.487212805914,N,
Duwamish Park,11646 42nd Avenue South,Tukwila,98168,47.499487054531,-122.280439293434,N,
Duwamish Waterway Park,7900 10th Ave S,Seattle,98106,47.531156,-122.319694,N,
E.C. Hughes Playground,2805 SW Holden St,Seattle,98126,47.532805,-122.369545,N,
Eagle Landing Park,14641 25th Avenue SW,Burien,,47.4721078791761,-122.36704828423149,N,
Earlington Park,272 Thomas Ave SW,Renton,,47.48056094,-122.22744334,N,
East Montlake Park,2802 E Park Drive East,Seattle,98112,47.646662,-122.301441,N,
East Norway Hill Park,15101 124th Ave NE,Kirkland,,47.73806323239473,-122.1803030636446,N,
East Portal Viewpoint,1400 Lake Washington Blvd S,Seattle,98144,47.590222,-122.287893,N,
East Queen Anne Playground,1912 Warren Ave N,Seattle,98109,47.636139,-122.353786,N,
